q13_text,q14_text,q15_text,q16_text,q17_text
acho mais provavel de acontecer,acho mais justificável,porque tem homem,porque foi mais terrivel,porque o segundo sabe mais do que faz
achei mais adequado,importante salientar,motivo claro,achei adequado,corente com crime aconteceu.
a população se indiguina com isso,é o crime ne,é a familia do cara ne,olho por olho,NA
o crime cometido foi molestar uma criança,"assassinou uma criança, isso é gravíssimo",estupro de criança é algo inaceitável,"apesar do crime ser o mesmo, no segundo caso foi contra uma criança!","bem difícil de escolher, mas no caso 2 se trata de um assassinato"
o crime é mais pesado.,"gravidade do crime maior, e ainda envolve menores.","gravidade do crime maior, e ainda envolve menores.",no caso 2 a vítima tinha mais chances de se defender.,a vítmima do caso 2 tinha mais chances de defesa.
pessoas ficam mais revoltadas quando há assassinato envolvido,estupro nem na cadeia é aceitável.,"como sempre, assassinato é sempre um agravante.",molestadores em geral são mais terriveis que assassinos aos olhos das pessoas.,"molestadores, sempre criam mais revolta."
porque pra mim estupro é crime hediondo,"não acho que deva acontecer, mais se preciso escolher um que seja este",assassinar uma criança nao tem justificativa,estupro nao tem perdão,"qualquer tipo de molestar, seja em adultos ou crianças nao podem ser perdoados."
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
porque acho mais provável de acontecer,porque ênfase mai,porque tem homem,um tipo de crime mais pesado,achei pior
NA,NA,NA,NA,NA
molestador,estuprador,assassino,molestador,já é um idoso se não aprendeu não tem como melhorar
é o que mais acontece atualmente no brasil nao sei se justificado,"por ser masculino, saj em sua maioria",NA,NA,NA
NA,me parece mais certo descer o cacete em vagabundo,me parece mais justo,molestar alguém não tem perdão,é inaceitável deixar um estuprador em pune
a maioria dos delitos são praticados por homens,a maioria dos delitos são praticados por homens,a maioria dos delitos são praticados por homens,a maioria dos delitos são praticados por homens,a maioria dos delitos são praticados por homens
eu o que mais acontece no  brasil,por falta do pode publico,falta de segurança no brasil,falta de educação,falta de amor ao proximo
qdo se tita a vida de alguem eh mais serio!,teve estupro!,a vitima foi um adolescente,"teve assassinato,ngm tem o direito de tirara a vida de ngm!",a vitimqa foi uma criança inocente
nenhum dos casos se justifica o linchamento,nenhum caso justifica,nenhum caso justifica,NA,NA
"é uma questão difícil de optar, mas em termos de tirar a vida de uma pessoa, é muito cruel, e normalmente as pessoas se revoltam, por isso acho justificável. mas não sou a favor de violência.","é uma questão difícil de optar, mas em termos de tirar a vida de uma pessoa, é muito cruel, e normalmente as pessoas se revoltam, por isso acho justificável. mas não sou a favor de violência.","é uma questão difícil de optar, mas em termos de tirar a vida de uma pessoa, é muito cruel, e normalmente as pessoas se revoltam, por isso acho justificável. mas não sou a favor de violência.","é uma questão difícil de optar, mas em termos de tirar a vida de uma pessoa, é muito cruel, e normalmente as pessoas se revoltam, por isso acho justificável. mas não sou a favor de violência.","é uma questão difícil de optar, mas em termos de tirar a vida de uma pessoa, é muito cruel, e normalmente as pessoas se revoltam, por isso acho justificável. mas não sou a favor de violência."
ao analisar achei que esse seria melhor,achei melhor esse,sem duvida o segundo,achei mais razoavel,esse é mais razoavel
caso com criança envolvendo linchamento é um absurdo então na situação prefiro o caso 2,acho que o gênero masculino tem sempre mais possibilidade de defesa,idoso linchar criança não tem lógica,mesma justificativa da anterior,linchamento em mulher é sempre muito difícil de aceitar
por que acredito que haja uma lei especfica sem que seja necessario linchamaneto.,por que acredito que haja uma lei especfica sem que seja necessario linchamaneto.,por que acredito que haja uma lei especfica sem que seja necessario linchamaneto.,por que acredito que haja uma lei especfica sem que seja necessario linchamaneto. existe leis para serem cumpridas.,por que acredito que haja uma lei especfica sem que seja necessario linchamaneto.  lei acima de tudo.
caso de estupro,caso de estupro,pois foram pessoas comuns que cometeram o ato,assassinato,estupro de menor
pq a mulheres não fitima,pq sim e o certo a justiça seja feita,não sei,sla,pq é o certo
"escolhi somente pois deveria obrigatoriamente selecionar um caso, como enunciado. mas não concordo com nenhum dos dois linchamentos e acredito que a justiça deveria cobrir a lacuna que as pessoas utilizam como desculpa para tal prática.",continuo não concordando com nenhum dos dois casos.,"continuo escolhendo por falta de uma opção ""nenhum dos dois"". mesmo considerando o estupro ou assédio crimes gravíssimos, não acredito que o papel de justiça deva ser exercido por populares. do mesmo modo, também observo que a justiça no brasil tem um tratamento diferente para com pessoas pobres e negras.","continuo escolhendo por falta de uma opção ""nenhum dos dois"". mesmo considerando o estupro ou assédio crimes gravíssimos, não acredito que o papel de justiça deva ser exercido por populares. do mesmo modo, também observo que a justiça no brasil tem um tratamento diferente para com pessoas pobres e negras.","continuo escolhendo por falta de uma opção ""nenhum dos dois"". mesmo considerando o estupro ou assédio crimes gravíssimos, não acredito que o papel de justiça deva ser exercido por populares. do mesmo modo, também observo que a justiça no brasil tem um tratamento diferente para com pessoas pobres e negras, idigenas e pardas."
estupro é mais grave do que molestar.  a pessoa vai ficar com isso para o resto de sua vida.,molestar é mais grave do que roubar um carro.,por ser um adolescente.,estupro é um crime tão grave quanto a morte. a pessoa vai ficar com isso para o resto de sua vida.,molestar é pior do que roubo a veiculo.
não acredito que seja correto mas é necessário uma ecolha,não acredito que seja correto mas é necessário uma ecolha,não acredito que seja correto mas é necessário uma ecolha,não acredito que seja correto mas é necessário uma ecolha,não acredito que seja correto mas é necessário uma ecolha
"como sou obrigado a escolher um caso escolhei este em virtude de ter sido cometido por pedestres que, em hipótese, teriam melhor poder de julgamento que ""gangues"".","repito, não há justificativa para linchamento portanto, como o crime de estrupo tem uma certa ""tradição"" de punição no nosso país, eu escolho o caso 1.","caso escolhido em virtude de que no caso da polícia este tipo de crime não pode nem sequer ser comentado em virtude de que além de ""servidores da lei"", eles teem obrigação de evitar este tipo de coisa.","semelhante a um dos casos anteriores, escapa, um pouco em virtude de ter sido cometido por vizinhos que, possivelmente, conheciam e/ou tiveram maior poder de julgamento no caso.","mais um caso de estupro;  a polícia tem a obrigação e o preparo de evitar este tipo de coisa mas, como tenho que escolher um caso ""mais justificável"", fico com este."
pelas opções dadas seria a opção pela idade da vítima.,idade da vítima,morte da vítima,caso de estupro,caso de morte da vítima
porque ele assassinou acho que não podia fazer isso é um crime.,porque acho que a policia está no direito.,porque tirar a vida de uma pessoa ninguém tem direito.,porque acho um assassinato não tem perdão.,porque acho que o adulto tinha mais resposábilidade para não errar ou seja não bater carteira;
crime sexual,crime sexual,NA,NA,NA
"por ter que escolher um, os dois sao crimes hediondos mas assassinato parece ainda pior","apenas por ter que escolher um deles, não faria diferença a escolha","apenas por ter que escolher um deles, não faria diferença a escolha",bater carteira é furto que deve ser preso e não se compara ao outro crime que é assassinato,bater carteira é furto que deve ser preso e não se compara ao outro crime que é assassinato
NA,NA,NA,NA,NA
"não concordo com ambos, mais o questionario me obrigou a escolher um.","não concordo com ambos, mais o questionario me obrigou a escolher um.","não concordo com ambos, mais o questionario me obrigou a escolher um.","não concordo com ambos, mais o questionario me obrigou a escolher um.","não concordo com ambos, mais o questionario me obrigou a escolher um."
um assassino merece pena de morte,um estuprador merece pena de morte,um ladrão de carro merece pena de morte,"os dois merecem pena de morte, pois são assassinos.",estuprador merece pena de morte
"pelo motivo de ser filha de policial e achar que deve fazer o que quiser, e, quando quiser, pois não terá punição.",demonstra que está abusando e se aproveitando da ocasião.,se aproveitou da situação,"aproveitou da situação e ainda matou a pessoa, isso é inaceitavel.","isso não se deve ser feito com ninguém, em qualquer ocasião ou circunstancia."
crime mais grave,"dentre as duas situações hipotéticas, a do caso 1 pareceu mais ""justa""",situação mais grave: estupro x molestação,"preferi a hipotese dos pedestres como linchadores ao invés das gangues  (mais ""justo"")","a situação do caso 1 é mais grave; sendo necessário escolher um dos dois, essa foi a minha escolha."
"assassinato é pior que roubo, ainda assim só marquei pq foi obrigatório, preciso de mais detalhes.","roubo é pior que moletar, pois hj até chamar alguém de gostoso(a) pode ser considerado ""molestar"", é preciso ter mais detalhes sobre ambos os casos.","o mais jovem deve ser corrigido, pois ele poderá ter mais tempo de dano. isso pq eu fui obrigado a marcar","roubo é pior que molestar, mas depende do que é o ""molestar"".","estuprando de verdade, tem que morrer."
"não tem uma opção de nenhum dos dois casos, mas escolhi o 1 caso, pois no caso 2 foi a policia que linchou e no 1 foi a população mas não concordo.","não tem uma opção de nenhum dos dois casos, mas escolhi o 1 caso, pois no caso 2 foi uma criança molestada.","não tem uma opção de nenhum dos dois casos, mas escolhi o 1 caso, pois o cara roubou os próprios vizinhos.","não tem uma opção de nenhum dos dois casos, mas escolhi o 2 caso, pois o cara já é idoso e está assaltando os outros.","não tem uma opção de nenhum dos dois casos, mas escolhi o 1 caso, pois ninguém tem direito de tirar a vida do outro"
"porque sim
",sfdsdia,hwajdhsqhj,NA,jwjwjjw
sem opção,serm opção,sem opção,sem opção,sem opção
porque ele cometeu um assassinato,pelo simples fato de ele ter estuprado uma menina,porque ela assassinou,porque matou,porque matou
"não concordo em nenhum dos casos, mas o assassinato de uma criança é sempre mais chocante e ""compreensível"" uma revolta sobre esse tipo de crime.","novamente: não concordo com linchamentos. dito isto, consigo compreender a revolta sobre um crime de assédio/estupro.","nesses dois casos é ainda pior, pois o linchamento parte dos policiais. mas, novamente julgando pelos crimes, um assassinato é mais revoltante do que um roubo de carro.","esse caso, pra mim, é uma exceção à regra que eu havia criado de julgar baseado na gravidade do crime. nesses dois crimes, o linchamento partindo de familiares da vítima é mais ""justificado"" pela revolta da proximidade dos mesmos, mas o caso de linchamento policial nunca é justificado, apesar da disparidade dos crimes. são uma força do estado que deveria aplicar a lei da forma correta, não abusar da força para expressar emoções.","voltamos para o julgamento dos crimes: molestar é mais grave do que bater a carteira de alguém, portanto fica mais compreensível a revolta dos linchadores, ainda que errados."
por ser do sexo masculino...mais fácil de roubar,pq no caso 1 é um idoso,feminino tem que ter mais paciência,do sexo masculino,crime de estupro é gravíssimo
estupro feminino,assassinato,contra gangues,morte infantil,violencia contra criança
não consigo suportar a ideia de alguém fazer maldades com crianças.,muita crueldade atacar idosos.,"eu realmente sou contra o linchamento. mas acho que deveria ter penas mais severas, pois as leis atuais não teme esses selvagens.",sem comentários quando o assunto é estrupo,"independente de qual seja o crime por mais revoltada que causa sou contra o linchamento, pois somente deus pode e irá acabar com tantas crueldades que vivemos."
falta de justiça,falta de justiça,não sei,a justiça não faz nada,não sei
crime gravíssimo. assassinato,crime gravissimo.,assassinato,assassinato,roubo de bens de alto valor
não concordo com linchamento,não concordo com linchamento,não concordo com linchamento,não concordo com linchamento,não concordo com linchamento
não sei explicar,NA,não sei explicar,não sei explicar,ainda não sei explicar
o pior,o pior,o pior,o pior,o pior
NA,NA,NA,NA,NA
"não sou a favor do linchamento,  mais tive que  escolher  uma opção",NA,NA,NA,NA
"acredito que o estupro é um crime imperdoável, e vários estupradores após sair da cadeia estupram novamente",pelo crime em si,o crime foi mais pesado,pelo fato de ter matado uma criança,roubou alguém próximo
NA,NA,NA,NA,NA
não tinha outra opção!!,"não sou a favor do linchamento, mas tenho que escolher, então, caso 1",acho que é esse,NA,NA
adulto capaz de responder pelos seus atos,por se tratar de um homem,"agredir criança, não compactuo",adulto tem que pagar pelo que fez,agredir idoso pra mim é imperdoável
devido a revolta das pessoas e justamente por não acreditaram na justiça brasileira acham que podemos fazer justiça com as próprias mãos,"não acredito que a pessoa só por ser negra sofre essa injustiça por parte de polícia, acredito que ambas as raças podem ser vítimas.",assassinato.,abuso infantil !,abuso sexual
NA,NA,NA,NA,NA
me pareceu mais coerente as descrições do criminoso com o ato praticado.,por ser um estupro de adolescente.,por ser estupro de criança e pelo linchamento ter sido feito pela família da vítima.,por ter uma criança envolvida.,por ser molestamento de criança.
por ser homem,NA,NA,NA,NA
assassinato na minha opinião deveria ser punido com pena de morte,por conta de envolver criança,assassinato na minha opinião deveria ser punido com pena de morte,por envolver gangues,por envolver criança
"pessoas comuns tomadas por forte emoção, comoção e  revolta e ausência do estado","familiares tomados por forte emoção, comoção e  revolta e ausência do estado","pessoas comuns tomadas por forte emoção, comoção e  revolta e ausência do estado",crimes contra crianças sao sempre mais emocionais,"familiares de crianças tomados por forte emoção, comoção e  revolta e ausência do estado"
"escolhi a ação da polícia apesar de ber casos que a policia também age mau porem, fica mais facil o reconhecimento dos autores.",pela gravidade do crime.,pela gravidade do crime e da vítima,"pelo crime de assassinato, esse tipo de crime causa revolta à sociedade.",peço fato de ter atacado uma pessoa idosa...portanto praticamente indefesa.
familia da vitima ser adolescente,abressao a vizisnho bateu a cabela e pela gravidade,crime com idoso,gangues sao violentas e agem comcovardia,agrediiu idoso
NA,molestar é um pouco justificável.,pelo fato de molestar.,pelo fato de estuprar.,pelo fato de estuprar.
NA,NA,NA,NA,NA
assassinou,assassinou,estrupou,"era policial,sabia das leis",gangues
pelo crime ser mais grave homicidio.,pela vitima ser idosa,pelo criminoso ser idoso (adulto),crime assassinato ; vitima criança,criminoso adulto; crime assassinato ; vitima criança
escolho porque não havia a opção nenhum deles,não tenho outra opção,por causa da gravidade do crime,"molestar uma idosa, tem dó né?","molestar criança?
esfola... vivo!"
porque são indefesos,porque é justificavel,porque neste caso é comum à justiça,porque é sempre fraca,porque é sempre comum está atividade
porque são mais discriminados.,porque são mais discriminados,pela raça,são mais discriminados,mais comuns
é a mioria dos casos,é a maioria,existe muito feminicidio,sem motivos,acho que existe racismo nesse caso
NA,NA,NA,NA,NA
"não sei bem... escolhi porque tinha que escolher, mas sou fortemente contra linchamento. olho por olho, dente por dente",NA,NA,NA,NA
por que os crimes são mais graves.,prender esses vagabundos.,motivo de estupro.,roubo de carro,faltou segurança.
linchamento sou contra..pode se bandidos...criminosos..deixamos a lei..a justica pra julga.los..mais aqui no brasile infleizemnte as leis nao andam como devem..ai onde o povo quer linchar..matar os que nos fazem mal ..roubando..assim so aumenta s violencia.,nao concordo con linchamento..a justica deve ser feito com quem esta preparado para julga los..nao importa quem seja..para uma sociedade mais ter mais confianca na justica,nao concordo...ninguem tem o direito de matar ninguem com martelos..pedras..linchando..deixa a lei julga los.,nao concordo..sej qual for..pela cor..idade..raca;;nos temos o direito de viver..ate mesmo bandido..criminoso..porque a lei da volta pra vc realmente funciona..aqui se faz ...aqui se paga um dia..ninguem vai sem pagar..os bandidos pagam o que fazem sem serem linchados..pelo fato de serem excluidos da sociedade..este ja e um castigo grande.,linchamento nao vai consertar nenhum bandido assassino..entao deixamos a lei da natureza .lei de deus..ele vai pagar..e lei da justica dos homens que condenam..aqui na terra.
idoso é vitima mais frágil,roubar idosa é imperdoável,estrupo de criança é imperdoável,assassinato é mais grave,molestar idosa é grave
"adultos são mais responsáveis por seus atos, do que uma criança.",assassinato é sempre pior que surrupiar uma carteira.,não há justificativa para estupro.,roubar um carro é um crime maior que surrupiar uma carteira.,assassinato é pior do que roubar uma carteira. a vida não se recupera - o dinheiro sim.
por causa da criança.mas não concordo com linchamento.,por ser idoso e frágil...mas não concordo com nenhum tipo de linchamento.,pela fragilidade da mulher..mas não concordo com nenhum tipo de linchamento.,idoso.. frágil..não concordo com nenhum tipo de linchamento.,por causa de ser criança.mas não concordo com nenhum tipo de linchamento.
NA,primeiramente sou contra o linchamento mas escolhi por ser assassinato cometido por adulto.,por ter tido criança como vítima,por ter molestado criança o que gerou revolta aos vizinhos,por se tratar de estupro e vítima com certeza conhecida dos vizinhos
opção menos pior,"as duas opções são ruins,escolhi ao meu ver menos agressiva⁸",encheu com criança   mas nada justifica linchamento independente de qualquer crime.,ainda são duas opções muito injustas para linchamento sem opção  tive que escolher,escolhi a mais chocante mas sou contra o linchamento
"molestou, faltou respeito com o proximo",polícia nunca deve linchar alguém,por o primeiro caso ser crianca,pelo motivo mas não concordo do com a polícia linchar,pelo motivo
"adulto que se aproveita de mulher adolescente, é covarde",nenhum deveria ser linchado,covarde atacar e matar criança,levar criança para o caminho do mal não é aceito,molestar criança é covardia
"por falta de opção., acho que em nenhum dos casos deve haver linchamento",esputro é inadimissivel,gangues,é cdom adolescente vitima,vitima feminino e gangue
nada justifica o roubo,NA,NA,NA,NA
porque não tinha criançã,por conta da gravidade (estupro),por conta do assassinato,por conta do assassinato,pela gravidade - moletamento - criança
"por que não tive a opção de nenhuma, pois não concordo com linchamento, não resolve e nem ajuda ninguém, o que deveria fazer é ter justiça não só a palavra, mas pessoas honestas julgarem com sinceridade e não por que recebeu dinheiro para livra a cara de alguém rico, como está acontecendo no governo atual que é uma verdadeira bosta e um grupo de criminosos.","por que não tive a opção de nenhuma, pois não concordo com linchamento, não resolve e nem ajuda ninguém, o que deveria fazer é ter justiça não só a palavra, mas pessoas honestas julgarem com sinceridade e não por que recebeu dinheiro para livra a cara de alguém rico, como está acontecendo no governo atual que é uma verdadeira bosta e um grupo de criminosos.","por que não tive a opção de nenhuma, pois não concordo com linchamento, não resolve e nem ajuda ninguém, o que deveria fazer é ter justiça não só a palavra, mas pessoas honestas julgarem com sinceridade e não por que recebeu dinheiro para livra a cara de alguém rico, como está acontecendo no governo atual que é uma verdadeira bosta e um grupo de criminosos.","por que não tive a opção de nenhuma, pois não concordo com linchamento, não resolve e nem ajuda ninguém, o que deveria fazer é ter justiça não só a palavra, mas pessoas honestas julgarem com sinceridade e não por que recebeu dinheiro para livra a cara de alguém rico, como está acontecendo no governo atual que é uma verdadeira bosta e um grupo de criminosos.","por que não tive a opção de nenhuma, pois não concordo com linchamento, não resolve e nem ajuda ninguém, o que deveria fazer é ter justiça não só a palavra, mas pessoas honestas julgarem com sinceridade e não por que recebeu dinheiro para livra a cara de alguém rico, como está acontecendo no governo atual que é uma verdadeira bosta e um grupo de criminosos."
por parecer mais com casos de racimo,por estar mais pessoas isoladas,por parecer mais com casos de racimo,por parecer mais com casos de racimo,por parecer mais com casos de racimo
acredito que matar uma velhinha é bem pior que roubar uma carteira,"a familia pode as vezes agir pela emoção, mas a policia deveria ser treinada para nao linchar e sim levar a prisao
","nestes dois casos, tudo muito esquisito, um homem adulto ser estuprado....agora um velho indio roubar o carro de uma mulher, ele nao sabe viver em sociedade, poderia ser por isso","acredito que estuprar um velho idoso seja muita maldade, ele é indefeso",acredito que seja muita maldade roubar o velho indefeso
"crime estupro, autor gangue, mora na vizinhança o linchamento foi inevitável","autor indigena, mora na vizinhanca, vitima feminina, linchado por gangue, inevitável.","crime estupro, autor familia, vitima masculina, isto justifica o linchamento pela gravidade do crime.","nao acho que seja motivo para linchamento mas sendo os autores pedestres foge ao controle.
","crime grave assassinato, linchamento por vizinhos, não há controle neste caso"
por que assassinou,agrediu idoso,agressão de idoso,assassinou,assassinou
"na realidade só escolhi por falta da opção ""nenhum dos dois"" porque neste pais o linchamento é proibido.",como na resposta anterior só escolhi por falta de opção.,NA,NA,NA
"o roubo de um carro é algo material, e pode ser justificado, uma mulher molestar uma criança não existe justificativa 
","é um assinato, ele tirou a vida de um inocente",NA,NA,NA
"
",NA,NA,NA,NA
NA,porque me deixa zangada,NA,porque inperdoavem,não sri
"porque no caso 1 é questão de invasão de partes intima da vitima, pelo que entendi; merece linchamento.","outro caso de invasão de intimidade, merece um linchamento.","apesar de ser um crime leve, mas merece linchamento.","na minha opinião os dois mereciam, mas o caso 1 merece mais.","porque mesmo sendo do sexo feminino não se deve molestar ninguem, nem um idoso."
"não há justificativa para tal, como é preciso escolher 1 caso, o segundo se trata de uma pessoa adulta, sem assim, a mesma deveria ter mais discernimento entre o certo e o errado.",a polícia não faria um linchamento.,"não concordo com essa perseguição à polícia... a polícia não faria um linchamento.
pode até haver policiais desonestos, mas são responsabilidades individuais, não da corporação.","não concordo com essa perseguição à polícia... a polícia não faria um linchamento.
pode até haver policiais desonestos, mas são responsabilidades individuais, não da corporação.","a perda de uma criança é um sentimento muito forte. (não seria necessário, deveria deixar a justiça cuidar do caso)"
preconceito e racismo,falta de amor.,"falta de respeito
",insegurança,tudo isso medo falta de segurança.
justiça,justiça,justica,justica,justica
criancas involvida innocentes,estrprou,assassinou,molestou,estuprou
o homem é mais cruel e tem sofre em crime,NA,NA,NA,NA
